model,device,prompt_length,gen_tokens,run_index,latency_ms
Qwen/Qwen2.5-0.5B,cpu,1024,8,17,7575.7238999940455
Qwen/Qwen2.5-0.5B,cpu,1024,8,18,8694.65570000466
Qwen/Qwen2.5-0.5B,cpu,1024,8,19,10020.76440001838
Qwen/Qwen2.5-0.5B,cpu,1024,32,0,12186.270499951206
Qwen/Qwen2.5-0.5B,cpu,1024,32,1,11778.45610002987
Qwen/Qwen2.5-0.5B,cpu,1024,32,2,13898.75229995232
Qwen/Qwen2.5-0.5B,cpu,1024,32,3,20717.28780004196
Qwen/Qwen2.5-0.5B,cpu,1024,32,4,25795.207499992102
Qwen/Qwen2.5-0.5B,cpu,1024,32,5,23263.04590003565
Qwen/Qwen2.5-0.5B,cpu,1024,32,6,21061.528299935162
Qwen/Qwen2.5-0.5B,cpu,1024,32,7,14079.595600022003
Qwen/Qwen2.5-0.5B,cpu,1024,32,8,12847.229299950413
Qwen/Qwen2.5-0.5B,cpu,1024,32,9,12342.240000027232
Qwen/Qwen2.5-0.5B,cpu,1024,32,10,11792.898199986666
Qwen/Qwen2.5-0.5B,cpu,1024,32,11,13471.696000080556
Qwen/Qwen2.5-0.5B,cpu,1024,32,12,12422.845200053416
Qwen/Qwen2.5-0.5B,cpu,1024,32,13,12407.877000048757
Qwen/Qwen2.5-0.5B,cpu,1024,32,14,13114.453400019556
Qwen/Qwen2.5-0.5B,cpu,1024,32,15,11865.66769995261
Qwen/Qwen2.5-0.5B,cpu,1024,32,16,13445.87010005489
Qwen/Qwen2.5-0.5B,cpu,1024,32,17,13891.200099955313
Qwen/Qwen2.5-0.5B,cpu,1024,32,18,14322.363700019196
Qwen/Qwen2.5-0.5B,cpu,1024,32,19,12559.366500005126
Qwen/Qwen2.5-0.5B,cpu,1024,64,0,18481.237399973907
Qwen/Qwen2.5-0.5B,cpu,1024,64,1,18545.999699970707
Qwen/Qwen2.5-0.5B,cpu,1024,64,2,18595.224800053984
Qwen/Qwen2.5-0.5B,cpu,1024,64,3,18339.033300057054
Qwen/Qwen2.5-0.5B,cpu,1024,64,4,21021.038300008513
Qwen/Qwen2.5-0.5B,cpu,1024,64,5,18149.693400016986
Qwen/Qwen2.5-0.5B,cpu,1024,64,6,21520.253799972124
Qwen/Qwen2.5-0.5B,cpu,1024,64,7,16391.063199960627
Qwen/Qwen2.5-0.5B,cpu,1024,64,8,16437.649599974975
Qwen/Qwen2.5-0.5B,cpu,1024,64,9,20641.675799968652
Qwen/Qwen2.5-0.5B,cpu,1024,64,10,38740.410599973984
Qwen/Qwen2.5-0.5B,cpu,1024,64,11,18664.764099987224
Qwen/Qwen2.5-0.5B,cpu,1024,64,12,17157.144999946468
Qwen/Qwen2.5-0.5B,cpu,1024,64,13,19092.516800039448
Qwen/Qwen2.5-0.5B,cpu,1024,64,14,17546.207200037315
Qwen/Qwen2.5-0.5B,cpu,1024,64,15,18659.124199999496
Qwen/Qwen2.5-0.5B,cpu,1024,64,16,18781.79319994524
Qwen/Qwen2.5-0.5B,cpu,1024,64,17,17643.129999982193
Qwen/Qwen2.5-0.5B,cpu,1024,64,18,20714.521900052205
Qwen/Qwen2.5-0.5B,cpu,1024,64,19,20262.10340007674
