consensus_type,validator_count,offered_load_tps,validator_failure_rate,malicious_validator_ratio,throughput_tps,confirmation_latency_ms,p95_confirmation_latency_ms,consensus_success_rate,failed_tx_rate,finality_delay_ms,communication_overhead_normalized,benchmark_type
poa_like,8,400,0.1,0.25,0.0,592.8999991530001,1096.864997691925,0.0,1.0,652.1899990683002,0.5,consensus_scalability_simulation
poa_like,8,400,0.2,0.0,225.6207863768744,350.8682692307693,551.6897473650149,0.41547475961538466,0.5845252403846153,385.9550961538462,0.5,consensus_scalability_simulation
poa_like,8,400,0.2,0.1,0.0,569.799999153,1054.1299977208,0.0,1.0,626.7799990683001,0.5,consensus_scalability_simulation
poa_like,8,400,0.2,0.25,0.0,615.9999991530001,1139.59999766305,0.0,1.0,677.5999990683001,0.5,consensus_scalability_simulation
poa_like,16,50,0.0,0.0,49.03183006600739,178.0,240.3,1.0,0.0,195.8,1.0,consensus_scalability_simulation
poa_like,16,50,0.0,0.1,0.0,605.199992168,1119.6199794588001,0.0,1.0,665.7199913848001,1.0,consensus_scalability_simulation
poa_like,16,50,0.0,0.25,0.0,658.599992168,1218.4099789248,0.0,1.0,724.4599913848,1.0,consensus_scalability_simulation
poa_like,16,50,0.05,0.0,48.47350329129505,191.35,258.3225,0.8875,0.11250000000000004,210.485,1.0,consensus_scalability_simulation
poa_like,16,50,0.05,0.1,0.0,618.5499921680001,1144.3174793253004,0.0,1.0,680.4049913848002,1.0,consensus_scalability_simulation
poa_like,16,50,0.05,0.25,0.0,671.949992168,1243.1074787913,0.0,1.0,739.1449913848,1.0,consensus_scalability_simulation
poa_like,16,50,0.1,0.0,50.12303959678417,204.7,276.345,0.775,0.22499999999999998,225.17000000000002,1.0,consensus_scalability_simulation
poa_like,16,50,0.1,0.1,0.0,631.899992168,1169.0149791918002,0.0,1.0,695.0899913848001,1.0,consensus_scalability_simulation
poa_like,16,50,0.1,0.25,0.0,685.299992168,1267.8049786578001,0.0,1.0,753.8299913848001,1.0,consensus_scalability_simulation
poa_like,16,50,0.2,0.0,49.53204231016707,231.4,312.39000000000004,0.55,0.44999999999999996,254.54000000000002,1.0,consensus_scalability_simulation
poa_like,16,50,0.2,0.1,0.0,658.599992168,1218.4099789248,0.0,1.0,724.4599913848,1.0,consensus_scalability_simulation
poa_like,16,50,0.2,0.25,0.0,711.999992168,1317.1999783908002,0.0,1.0,783.1999913848,1.0,consensus_scalability_simulation
poa_like,16,100,0.0,0.0,99.73539090114136,178.0,240.3,1.0,0.0,195.8,1.0,consensus_scalability_simulation
poa_like,16,100,0.0,0.1,0.0,605.1999960840001,1119.6199897294002,0.0,1.0,665.7199956924002,1.0,consensus_scalability_simulation
poa_like,16,100,0.0,0.25,0.0,658.599996084,1218.4099894624003,0.0,1.0,724.4599956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.05,0.0,100.77986145555084,191.35,258.3225,0.8875,0.11250000000000004,210.485,1.0,consensus_scalability_simulation
poa_like,16,100,0.05,0.1,0.0,618.5499960840001,1144.3174896626504,0.0,1.0,680.4049956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.05,0.25,0.0,671.9499960840001,1243.1074893956502,0.0,1.0,739.1449956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.1,0.0,100.0529302729922,204.7,276.345,0.775,0.22499999999999998,225.17000000000002,1.0,consensus_scalability_simulation
poa_like,16,100,0.1,0.1,0.0,631.899996084,1169.0149895959,0.0,1.0,695.0899956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.1,0.25,0.0,685.299996084,1267.8049893289,0.0,1.0,753.8299956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.2,0.0,98.71306528423519,231.4,312.39000000000004,0.55,0.44999999999999996,254.54000000000002,1.0,consensus_scalability_simulation
poa_like,16,100,0.2,0.1,0.0,658.599996084,1218.4099894624003,0.0,1.0,724.4599956924001,1.0,consensus_scalability_simulation
poa_like,16,100,0.2,0.25,0.0,711.999996084,1317.1999891954001,0.0,1.0,783.1999956924001,1.0,consensus_scalability_simulation
poa_like,16,200,0.0,0.0,200.26791945730716,178.0,240.3,1.0,0.0,195.8,1.0,consensus_scalability_simulation
poa_like,16,200,0.0,0.1,0.0,605.1999980420001,1119.6199948647002,0.0,1.0,665.7199978462002,1.0,consensus_scalability_simulation
poa_like,16,200,0.0,0.25,0.0,658.599998042,1218.4099947312002,0.0,1.0,724.4599978462,1.0,consensus_scalability_simulation
poa_like,16,200,0.05,0.0,194.00676112127883,191.35,258.3225,0.8875,0.11250000000000004,210.485,1.0,consensus_scalability_simulation
poa_like,16,200,0.05,0.1,0.0,618.5499980420001,1144.3174948313251,0.0,1.0,680.4049978462001,1.0,consensus_scalability_simulation
poa_like,16,200,0.05,0.25,0.0,671.9499980420001,1243.1074946978251,0.0,1.0,739.1449978462001,1.0,consensus_scalability_simulation
poa_like,16,200,0.1,0.0,193.61429887453357,204.7,276.345,0.775,0.22499999999999998,225.17000000000002,1.0,consensus_scalability_simulation
poa_like,16,200,0.1,0.1,0.0,631.899998042,1169.01499479795,0.0,1.0,695.0899978462,1.0,consensus_scalability_simulation
poa_like,16,200,0.1,0.25,0.0,685.299998042,1267.80499466445,0.0,1.0,753.8299978462001,1.0,consensus_scalability_simulation
poa_like,16,200,0.2,0.0,202.27021550799282,231.4,312.39000000000004,0.55,0.44999999999999996,254.54000000000002,1.0,consensus_scalability_simulation
poa_like,16,200,0.2,0.1,0.0,658.599998042,1218.4099947312002,0.0,1.0,724.4599978462,1.0,consensus_scalability_simulation
poa_like,16,200,0.2,0.25,0.0,711.999998042,1317.1999945977002,0.0,1.0,783.1999978462001,1.0,consensus_scalability_simulation
poa_like,16,400,0.0,0.0,375.7366005426644,202.47500000000008,279.6685937500001,0.965625,0.034375000000000044,222.7225000000001,1.0,consensus_scalability_simulation
poa_like,16,400,0.0,0.1,0.0,605.199999021,1119.6199974323501,0.0,1.0,665.7199989231001,1.0,consensus_scalability_simulation
poa_like,16,400,0.0,0.25,0.0,658.599999021,1218.4099973656,0.0,1.0,724.4599989231001,1.0,consensus_scalability_simulation
poa_like,16,400,0.05,0.0,340.0097724404605,257.12656250000003,368.715473022461,0.8055102539062499,0.19448974609375014,282.83921875000004,1.0,consensus_scalability_simulation
poa_like,16,400,0.05,0.1,0.0,618.5499990210001,1144.3174974156627,0.0,1.0,680.4049989231002,1.0,consensus_scalability_simulation
poa_like,16,400,0.05,0.25,0.0,671.949999021,1243.1074973489126,0.0,1.0,739.1449989231002,1.0,consensus_scalability_simulation
poa_like,16,400,0.1,0.0,289.9280799452218,311.778125,463.52638427734377,0.658447265625,0.341552734375,342.9559375,1.0,consensus_scalability_simulation
poa_like,16,400,0.1,0.1,0.0,631.8999990210001,1169.014997398975,0.0,1.0,695.0899989231002,1.0,consensus_scalability_simulation
poa_like,16,400,0.1,0.25,0.0,685.299999021,1267.804997332225,0.0,1.0,753.8299989231,1.0,consensus_scalability_simulation
poa_like,16,400,0.2,0.0,204.57042808620972,421.08124999999995,670.440302734375,0.4034765625000001,0.5965234374999999,463.189375,1.0,consensus_scalability_simulation
poa_like,16,400,0.2,0.1,0.0,658.5999990210001,1218.4099973656002,0.0,1.0,724.4599989231002,1.0,consensus_scalability_simulation
poa_like,16,400,0.2,0.25,0.0,711.9999990210001,1317.1999972988501,0.0,1.0,783.1999989231002,1.0,consensus_scalability_simulation
poa_like,32,50,0.0,0.0,49.530445175209856,226.0,305.1,1.0,0.0,248.60000000000002,2.0,consensus_scalability_simulation
poa_like,32,50,0.0,0.1,0.0,768.3999900560001,1421.5399739196005,0.0,1.0,845.2399890616002,2.0,consensus_scalability_simulation
poa_like,32,50,0.0,0.25,0.0,836.199990056,1546.9699732416002,0.0,1.0,919.8199890616002,2.0,consensus_scalability_simulation
poa_like,32,50,0.05,0.0,49.88443432009549,242.95,327.9825,0.8875,0.11250000000000004,267.245,2.0,consensus_scalability_simulation
